"","libelle_rome","code_rome","fap2009_SansQualif_agreg","fap2009_AvecQualif_agreg"
"82","Protection du patrimoine naturel","A1204","Z","G"
"83","Agent technique forestier / Agente technique forestière","A1205","A","Z"
"84","Populiculteur / Populicultrice","A1205","A","Z"
"85","Conducteur / Conductrice de travaux forestiers","A1205","A","Z"
"86","Exploitant forestier / Exploitante forestière","A1205","A","Z"
"87","Ouvrier sylviculteur / Ouvrière sylvicultrice","A1205","A","Z"
"88","Chef d'équipe de travaux forestiers","A1205","A","Z"
"89","Sylviculteur / Sylvicultrice","A1205","A","Z"
"90","Ouvrier sylvicole / Ouvrière sylvicole ","A1205","A","Z"
"91","Manoeuvre forestier / forestière","A1205","A","Z"
"92","Ouvrier forestier / Ouvrière forestière ","A1205","A","Z"
"93","Sylviculture","A1205","A","Z"
"94","Chef de district forestier","A1205","A","Z"
"95","Forestier / Forestière","A1205","A","Z"
"96","Agent / Agente de maîtrise d'exploitation forestière","A1205","A","Z"
"97","Contremaître / Contremaîtresse d'exploitation forestière","A1205","A","Z"
"98","Etudes et assistance technique","A13",NA,NA
"99","Animateur / Animatrice d'organismes agricoles","A1301","Z","A"
"100","Technicien / Technicienne caprin","A1301","Z","A"
"101","Conseiller / Conseillère agricole","A1301","Z","A"
"102","Technicien / Technicienne avicole","A1301","Z","A"
"103","Technicien / Technicienne bâtiments d'élevage","A1301","Z","A"
"104","Technicien laitier / Technicienne laitière ","A1301","Z","A"
"105","Technicien forestier / Technicienne forestière ","A1301","Z","A"
"106","Technicien / Technicienne porcin","A1301","Z","A"
"107","Technicien / Technicienne d'expérimentation","A1301","Z","A"
"108","Technicien foncier / Technicienne foncière","A1301","Z","A"
"109","Technicien / Technicienne d'élevage","A1301","Z","A"
"110","Technicien / Technicienne en agriculture biologique","A1301","Z","A"
"111","Conseil et assistance technique en agriculture","A1301","Z","A"
"112","Technicien / Technicienne arboricole","A1301","Z","A"
"113","Technicien / Technicienne bovin","A1301","Z","A"
"114","Conseiller / Conseillère en machinisme agricole","A1301","Z","A"
"115","Conseiller / Conseillère d'élevage en production laitière","A1301","Z","A"
"116","Conseiller / Conseillère en génie climatique agricole","A1301","Z","A"
"117","Technicien / Technicienne de production animale","A1301","Z","A"
"118","Technicien / Technicienne de culture maraîchère","A1301","Z","A"
"119","Technicien / Technicienne viticole ","A1301","Z","A"
"120","Animateur / Animatrice agricole","A1301","Z","A"
"121","Technicien / Technicienne du génie sanitaire et environnement","A1301","Z","A"
"122","Technicien / Technicienne en fabrication fromagère","A1301","Z","A"
"123","Conseiller / Conseillère de gestion agricole","A1301","Z","A"
"124","Technicien forestier / Technicienne forestière d'études et de recherche","A1301","Z","A"
"125","Technicien / Technicienne du génie rural","A1301","Z","A"
"126","Technicien / Technicienne semences ","A1301","Z","A"
"127","Conseiller / Conseillère technique agricole","A1301","Z","A"
"128","Technicien / Technicienne ovin ","A1301","Z","A"
"129","Technicien / Technicienne horticole","A1301","Z","A"
"130","Technicien foncier / Technicienne foncière en agriculture","A1301","Z","A"
"131","Technicien / Technicienne équin ","A1301","Z","A"
"132","Technicien / Technicienne des travaux forestiers","A1301","Z","A"
"133","Conseiller forestier / Conseillère forestière","A1301","Z","A"
"134","Technicien / Technicienne d'agriculture","A1301","Z","A"
"135","Technicien / Technicienne cunicole","A1301","Z","A"
"136","Technicien / Technicienne en alimentation animale","A1301","Z","A"
"137","Conseiller / Conseillère en irrigation","A1301","Z","A"
"138","Technicien / Technicienne de maintenance végétale","A1301","Z","A"
"139","Hydraulicien / Hydraulicienne en agriculture","A1301","Z","A"
"140","Conseiller / Conseillère viticole","A1301","Z","A"
"141","Conseiller / Conseillère d'agriculture","A1301","Z","A"
"142","Contrôleur / Contrôleuse de performance","A1302","Z","A"
"143","Contrôleur-pointeur / Contrôleuse-pointeuse","A1302","Z","A"
"144","Contrôle et diagnostic technique en agriculture","A1302","Z","A"
"145","Technicien / Technicienne des services vétérinaires","A1302","Z","A"
"146","Agent / Agente technique d'élevage","A1302","Z","A"
"147","Contrôleur / Contrôleuse viticole","A1302","Z","A"
"148","Technicien / Technicienne de contrôle laitier","A1302","Z","A"
"149","Assistant / Assistante sanitaire apicole","A1302","Z","A"
"150","Inséminateur artificiel / Inséminatrice artificielle","A1302","Z","A"
"151","Contrôleur / Contrôleuse de culture","A1302","Z","A"
"152","Contrôleur / Contrôleuse de croissance de l'agriculture","A1302","Z","A"
"153","Peseur laitier / Peseuse laitière","A1302","Z","A"
"154","Contrôleur laitier / Contrôleuse laitière","A1302","Z","A"
"155","Agent / Agente technique agricole","A1302","Z","A"
"156","Agent / Agente de production laitière","A1302","Z","A"
"157","Technicien / Technicienne de production laitière","A1302","Z","A"
"158","Technicien / Technicienne agricole ","A1302","Z","A"
"159","Technicien / Technicienne de contrôle de croissance de l'agriculture","A1302","Z","A"
"160","Agent / Agente sanitaire apicole","A1302","Z","A"
"161","Agent / Agente technique en produits de traitement","A1302","Z","A"
"162","Agent / Agente de collecte d'embryons","A1302","Z","A"
"163","Agent / Agente sanitaire de l'agriculture","A1302","Z","A"
"164","Chargé / Chargée d'études environnement","A1303","Z","A"
"165","Agro-économiste","A1303","Z","A"
"166","Ingénieur / Ingénieure en expérimentation végétale","A1303","Z","A"
"167","Chargé / Chargée de recherche en agriculture","A1303","Z","A"
"168","Ingénieur / Ingénieure agronome","A1303","Z","A"
"169","Ingénieur / Ingénieure agro-halieute","A1303","Z","A"
"170","Chargé / Chargée d'études en biodiversité","A1303","Z","A"
"171","Ingénieur / Ingénieure des techniques forestières","A1303","Z","A"
"172","Expert / Experte en aquaculture","A1303","Z","A"
"173","Ingénieur / Ingénieure agro-environnement","A1303","Z","A"
"174","Expert / Experte cynégétique","A1303","Z","A"
"175","Bio-ingénieur / Bio-ingénieure","A1303","Z","A"
"176","Expert forestier / Experte forestière","A1303","Z","A"
"177","Chargé / Chargée d'études agricoles","A1303","Z","A"
"178","Chargé / Chargée de mission biodiversité","A1303","Z","A"
"179","Chargé / Chargée d'études du patrimoine naturel","A1303","Z","A"
"180","Chargé / Chargée d'études économiques en agriculture","A1303","Z","A"
"181","Ingénieur / Ingénieure en expérimentation animale","A1303","Z","A"
"182","Ingénieur / Ingénieure halieute","A1303","Z","A"
"183","Chargé / Chargée d'études en développement rural","A1303","Z","A"
"184","Ingénieur / Ingénieure paysagiste","A1303","Z","A"
"185","Ingénieur / Ingénieure horticole","A1303","Z","A"
"186","Ingénierie en agriculture et environnement naturel","A1303","Z","A"
"187","Expérimentateur / Expérimentatrice en agriculture","A1303","Z","A"
"188","Ingénieur / Ingénieure du génie rural des eaux et forêts -IGREF-","A1303","Z","A"
"189","Ingénieur / Ingénieure d'études et de recherche agricoles","A1303","Z","A"
"190","Ingénieur / Ingénieure des travaux ruraux","A1303","Z","A"
"191","Chargé / Chargée d'études en développement agricole","A1303","Z","A"
"192","Ingénieur / Ingénieure arboricole","A1303","Z","A"
"193","Ingénieur / Ingénieure des travaux agricoles","A1303","Z","A"
"194","Chargé / Chargée de mission en agriculture","A1303","Z","A"
"195","Ingénieur / Ingénieure du génie rural","A1303","Z","A"
"196","Ingénieur / Ingénieure des travaux des eaux et forêts","A1303","Z","A"
"197","Ingénieur / Ingénieure en techniques d'expérimentation animale","A1303","Z","A"
"198","Expert agricole et foncier / Experte agricole et foncière ","A1303","Z","A"
"199","Ingénieur / Ingénieure des eaux et forêts","A1303","Z","A"
"200","Production","A14",NA,NA
"201","Aide agricole en production fruitière","A1401","A","Z"
"202","Aide arboricole","A1401","A","Z"
"203","Aide agricole en viticulture","A1401","A","Z"
"204","Aide-arboriculteur / Aide-arboricultrice","A1401","A","Z"
"205","Aide-viticulteur / Aide-viticultrice","A1401","A","Z"
"206","Vendangeur / Vendangeuse","A1401","A","Z"
"207","Cueilleur / Cueilleuse de pêches","A1401","A","Z"
"208","Aide agricole en arboriculture","A1401","A","Z"
"209","Cueilleur / Cueilleuse de pommes","A1401","A","Z"
"210","Cueilleur / Cueilleuse de cerises","A1401","A","Z"
"211","Porteur / Porteuse de hottes","A1401","A","Z"
"212","Aide-pépiniériste","A1401","A","Z"
"213","Cueilleur / Cueilleuse de fruits","A1401","A","Z"
"214","Cueilleur / Cueilleuse de poires","A1401","A","Z"
"215","Aide agricole de production fruitière ou viticole","A1401","A","Z"
"216","Aide viticole","A1401","A","Z"
"217","Planteur / Planteuse de bananes","A1401","A","Z"
"218","Aide agricole en production végétale","A1402","A","Z"
"219","Aide agricole en polyculture","A1402","A","Z"
"220","Planteur / Planteuse de canne à sucre","A1402","A","Z"
"221","Ramasseur / Ramasseuse d'endives","A1402","A","Z"
"222","Aide agricole en production légumière","A1402","A","Z"
"223","Ramasseur / Ramasseuse d'asperges","A1402","A","Z"
"224","Aide agricole en maraîchage-horticulture","A1402","A","Z"
"225","Planteur / Planteuse de tabac","A1402","A","Z"
"226","Aide agricole en production florale","A1402","A","Z"
"227","Aide horticole","A1402","A","Z"
"228","Castreur / Castreuse de maïs","A1402","A","Z"
"229","Ramasseur / Ramasseuse de légumes","A1402","A","Z"
"230","Planteur / Planteuse de café - thé","A1402","A","Z"
"231","Ramasseur / Ramasseuse d'ail","A1402","A","Z"
"232","Ramasseur / Ramasseuse de pommes de terre","A1402","A","Z"
"233","Coupeur / Coupeuse de canne à sucre","A1402","A","Z"
"234","Aide maraîcher / maraîchère","A1402","A","Z"
"235","Aide agricole de production légumière ou végétale","A1402","A","Z"
"236","Cueilleur / Cueilleuse de feuilles de tabac","A1402","A","Z"
"237","Ramasseur / Ramasseuse de champignons","A1402","A","Z"
"238","Tondeur / Tondeuse de moutons","A1403","A","Z"
"239","Aide d'élevage cunicole (lapins)","A1403","A","Z"
"240","Aide d'élevage de chevaux","A1403","A","Z"
"241","Aide agricole en production laitière","A1403","A","Z"
"242","Aide d'élevage ovin","A1403","A","Z"
"243","Aide d'élevage caprin","A1403","A","Z"
"244","Aide d'élevage aquacole","A1403","A","Z"
"245","Aide d'élevage bovin","A1403","A","Z"
"246","Aide d'élevage ostréicole","A1403","A","Z"
"247","Sexeur / Sexeuse de volailles","A1403","A","Z"
"248","Aide d'élevage en production laitière","A1403","A","Z"
"249","Ramasseur / Ramasseuse de volaille","A1403","A","Z"
"250","Aide de conchyliculture","A1403","A","Z"
"251","Aide d'élevage en production de volaille","A1403","A","Z"
"252","Aide-vacher / Aide-vachère","A1403","A","Z"
"253","Ramasseur / Ramasseuse d'oeufs","A1403","A","Z"
"254","Palefrenier / Palefrenière","A1403","A","Z"
"255","Aide d'élevage agricole et aquacole","A1403","A","Z"
"256","Aide de pisciculture","A1403","A","Z"
"257","Aide d'élevage porcin","A1403","A","Z"
"258","Aquaculteur / Aquacultrice","A1404","A","Z"
"259","Chef d'exploitation aquacole","A1404","A","Z"
"260","Vénériculteur / Vénéricultrice (palourdes)","A1404","A","Z"
"261","Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques)","A1404","A","Z"
"262","Algoculteur / Algocultrice (algues)","A1404","A","Z"
"263","Mytiliculteur / Mytilicultrice (moules)","A1404","A","Z"
"264","Astaciculteur / Astacicultrice (écrevisses)","A1404","A","Z"
"265","Conchyliculteur / Conchylicultrice (coquillages)","A1404","A","Z"
"266","Ouvrier / Ouvrière aquacole","A1404","A","Z"
"267","Echiniculteur / Echinicultrice (oursins)","A1404","A","Z"
"268","Salmoniculteur / Salmonicultrice (saumons)","A1404","A","Z"
"269","Ouvrier / Ouvrière piscicole ","A1404","A","Z"
"270","Pisciculteur / Piscicultrice","A1404","A","Z"
"271","Ouvrier / Ouvrière ostréicole ","A1404","A","Z"
"272","Ouvrier / Ouvrière mytilicole ","A1404","A","Z"
"273","Truiticulteur / Truiticultrice (truites)","A1404","A","Z"
"274","Aquaculture","A1404","A","Z"
"275","Ostréiculteur / Ostréicultrice (huîtres)","A1404","A","Z"
"276","Crustaciculteur / Crustacicultrice (crustacés)","A1404","A","Z"
"277","Arboriculture et viticulture","A1405","A","Z"
"278","Fruiticulteur / Fruiticultrice","A1405","A","Z"
"279","Ouvrier / Ouvrière en arboriculture","A1405","A","Z"
"280","Viticulteur / Viticultrice","A1405","A","Z"
"281","Pomiculteur / Pomicultrice","A1405","A","Z"
"282","Contremaître / Contremaîtresse en arboriculture","A1405","A","Z"
"283","Chef de station fruitière","A1405","A","Z"
"284","Tailleur / Tailleuse de fruitiers","A1405","A","Z"
"285","Tailleur / Tailleuse de vigne","A1405","A","Z"
"286","Chef de culture arboricole","A1405","A","Z"
"287","Kiwiculteur / Kiwicultrice","A1405","A","Z"
"288","Arboriculteur / Arboricultrice","A1405","A","Z"
"289","Vigneron manipulant / Vigneronne manipulante ","A1405","A","Z"
"290","Producteur / Productrice d'ananas","A1405","A","Z"
"291","Ouvrier / Ouvrière arboricole","A1405","A","Z"
"292","Régisseur / Régisseuse d'exploitation viticole","A1405","A","Z"
"293","Arboriculteur ornemental / Arboricultrice ornementale","A1405","A","Z"
"294","Pruniculteur / Prunicultrice","A1405","A","Z"
"295","Chef d'exploitation en arboriculture","A1405","A","Z"
"296","Oléiculteur / Oléicultrice","A1405","A","Z"
"297","Chef d'équipe en production arboricole","A1405","A","Z"
"298","Ouvrier viticole / Ouvrière viticole ","A1405","A","Z"
"299","Responsable d'exploitation viticole","A1405","A","Z"
"300","Ouvrier / Ouvrière en viticulture","A1405","A","Z"
"301","Producteur / Productrice de bananes","A1405","A","Z"
"302","Chef de culture viticole","A1405","A","Z"
"303","Commandant / Commandante de pêche","A1406","A","Z"
"304","Patron / Patronne de pêche","A1406","A","Z"
"305","Lieutenant / Lieutenante de pêche","A1406","A","Z"
"306","Capitaine de pêche","A1406","A","Z"
"307","Encadrement équipage de la pêche","A1406","A","Z"
"308","Patron / Patronne à la pêche","A1406","A","Z"
"309","Second / Seconde de pêche","A1406","A","Z"
"310","Producteur / Productrice de viande bovine","A1407","A","Z"
"311","Eleveur / Eleveuse de bovins","A1407","A","Z"
"312","Responsable de troupeau","A1407","A","Z"
"313","Agriculteur / Agricultrice de production laitière","A1407","A","Z"
"314","Anier / Anière","A1407","A","Z"
"315","Producteur / Productrice de viande équine","A1407","A","Z"
"316","Ouvrier / Ouvrière d'élevage laitier bovin","A1407","A","Z"
"317","Eleveur / Eleveuse de bisons","A1407","A","Z"
"318","Producteur / Productrice de lait bovin","A1407","A","Z"
"319","Eleveur / Eleveuse en production bovine et/ou équine","A1407","A","Z"
"320","Conducteur / Conductrice d'atelier de vaches allaitantes","A1407","A","Z"
"321","Eleveur / Eleveuse de veaux de boucherie","A1407","A","Z"
"322","Eleveur / Eleveuse d'ânes","A1407","A","Z"
"323","Etalonnier / Etalonnière","A1407","A","Z"
"324","Ouvrier / Ouvrière de production bovine","A1407","A","Z"
"325","Bouvier / Bouvière","A1407","A","Z"
"326","Ouvrier / Ouvrière agricole en production bovine","A1407","A","Z"
"327","Ouvrier / Ouvrière d'élevage en production équine","A1407","A","Z"
"328","Élevage bovin ou équin","A1407","A","Z"
"329","Eleveur / Eleveuse de chevaux","A1407","A","Z"
"330","Eleveur / Eleveuse de vaches laitières et de bétail viande","A1407","A","Z"
"331","Gardian","A1407","A","Z"
"332","Eleveur-sélectionneur / Eleveuse-sélectionneuse en production bovine et/ou équine","A1407","A","Z"
"333","Eleveur / Eleveuse de poulains","A1407","A","Z"
"334","Eleveur / Eleveuse de vaches laitières","A1407","A","Z"
"335","Manadier / Manadière","A1407","A","Z"
"336","Responsable d'élevage équin","A1407","A","Z"
"337","Eleveur / Eleveuse de poneys","A1407","A","Z"
"338","Conducteur / Conductrice d'atelier de production animale bovine ou équine","A1407","A","Z"
"339","Ouvrier / Ouvrière d'élevage en production bovine biologique","A1407","A","Z"
"340","Vacher / Vachère","A1407","A","Z"
"341","Eleveur / Eleveuse de taurillons","A1407","A","Z"
"342","Ouvrier / Ouvrière agricole en production laitière","A1407","A","Z"
"343","Ouvrier / Ouvrière agricole en production équine","A1407","A","Z"
"344","Ouvrier / Ouvrière d'élevage en production bovine","A1407","A","Z"
"345","Responsable d'élevage bovin","A1407","A","Z"
"346","Eleveur / Eleveuse de chats","A1408","A","Z"
"347","Eleveur / Eleveuse d'autruches","A1408","A","Z"
"348","Dresseur / Dresseuse de chiens","A1408","A","Z"
"349","Ouvrier / Ouvrière cynicole ","A1408","A","Z"
"350","Eleveur / Eleveuse d'animaux à fourrure","A1408","A","Z"
"351","Eleveur / Eleveuse d'animaux de compagnie","A1408","A","Z"
"352","Eleveur / Eleveuse de crocodiles","A1408","A","Z"
"353","Eleveur / Eleveuse de rongeurs","A1408","A","Z"
"354","Zootechnicien / Zootechnicienne","A1408","A","Z"
"355","Eleveur / Eleveuse de reptiles","A1408","A","Z"
"356","Raniculteur / Ranicultrice (grenouilles)","A1408","A","Z"
"357","Héliciculteur / Hélicicultrice (escargots)","A1408","A","Z"
"358","Eleveur / Eleveuse de reptiles aquatiques","A1408","A","Z"
"359","Eleveur / Eleveuse de visons","A1408","A","Z"
"360","Eleveur / Eleveuse d'escargots","A1408","A","Z"
"361","Sériciculteur / Séricicultrice (vers à soie)","A1408","A","Z"
"362","Féliniculteur / Félinicultrice (félins)","A1408","A","Z"
"363","Eleveur / Eleveuse de cervidés","A1408","A","Z"
"364","Eleveur / Eleveuse de chiens","A1408","A","Z"
"365","Educateur / Educatrice canin","A1408","A","Z"
"366","Cyniculteur / Cynicultrice (gibiers)","A1408","A","Z"
"367","Coturniculteur / Coturnicultrice (cailles)","A1408","A","Z"
"368","Eleveur / Eleveuse de lamas","A1408","A","Z"
"369","Garçon / Fille de chenil","A1408","A","Z"
"370","Élevage d'animaux sauvages ou de compagnie","A1408","A","Z"
"371","Animalier / Animalière de laboratoire","A1408","A","Z"
"372","Animalier / Animalière en parc zoologique","A1408","A","Z"
"373","Eleveur / Eleveuse de petits gibiers","A1408","A","Z"
"374","Apiculteur / Apicultrice","A1408","A","Z"
"375","Eleveur / Eleveuse de chiens guides","A1408","A","Z"
"376","Eleveur / Eleveuse d'insectes","A1408","A","Z"
"377","Eleveur / Eleveuse de grands gibiers","A1408","A","Z"
"378","Lombriculteur / Lombricultrice (lombrics)","A1408","A","Z"
"379","Responsable de poulailler","A1409","A","Z"
"380","Eleveur / Eleveuse de volailles","A1409","A","Z"
"381","Accouveur / Accouveuse","A1409","A","Z"
"382","Naisseur / Naisseuse en production de lapins ou de volailles","A1409","A","Z"
"383","Eleveur / Eleveuse de lapins ou de volailles","A1409","A","Z"
"384","Ouvrier / Ouvrière d'élevage en production de volailles","A1409","A","Z"
"385","Ouvrier / Ouvrière agricole en production de lapins","A1409","A","Z"
"386","Eleveur / Eleveuse de lapins","A1409","A","Z"
"387","Aviculteur / Avicultrice","A1409","A","Z"
"388","Eleveur-sélectionneur / Eleveuse-sélectionneuse en production de volailles","A1409","A","Z"
"389","Eleveur / Eleveuse de lapins angoras","A1409","A","Z"
"390","Ouvrier / Ouvrière agricole en production de volailles","A1409","A","Z"
"391","Ouvrier / Ouvrière cunicole (lapins)","A1409","A","Z"
"392","Responsable d'élevage avicole","A1409","A","Z"
"393","Gaveur / Gaveuse","A1409","A","Z"
"394","Engraisseur / Engraisseuse de lapins ou de volailles","A1409","A","Z"
"395","Ouvrier / Ouvrière avicole","A1409","A","Z"
"396","Élevage de lapins et volailles","A1409","A","Z"
"397","Ouvrier / Ouvrière d'accouvage","A1409","A","Z"
"398","Ouvrier / Ouvrière d'élevage en production de lapins","A1409","A","Z"
"399","Ouvrier / Ouvrière agricole spécialisation aviculture","A1409","A","Z"
"400","Responsable d'élevage cunicole (lapins)","A1409","A","Z"
"401","Eleveur-sélectionneur / Eleveuse-sélectionneuse en production de lapins","A1409","A","Z"
"402","Eleveur / Eleveuse de brebis laitières","A1410","A","Z"
"403","Ouvrier / Ouvrière de production ovine","A1410","A","Z"
"404","Berger / Bergère d'estives","A1410","A","Z"
"405","Producteur / Productrice de lait d'ovin et de caprin","A1410","A","Z"
"406","Eleveur / Eleveuse de chèvres angoras","A1410","A","Z"
"407","Ouvrier / Ouvrière agricole en production ovine","A1410","A","Z"
"408","Ouvrier / Ouvrière d'élevage en production caprine","A1410","A","Z"
"409","Moutonnier / Moutonnière","A1410","A","Z"
"410","Chevrier fromager / Chevrière fromagère","A1410","A","Z"
"411","Eleveur / Eleveuse de chèvres","A1410","A","Z"
"412","Ouvrier / Ouvrière agricole en production caprine","A1410","A","Z"
"413","Élevage ovin ou caprin","A1410","A","Z"
"414","Eleveur laitier / Eleveuse laitière en production ovine et caprine","A1410","A","Z"
"415","Eleveur / Eleveuse d'agneaux","A1410","A","Z"
"416","Eleveur / Eleveuse de caprins","A1410","A","Z"
"417","Berger fromager / Bergère fromagère","A1410","A","Z"
"418","Ouvrier / Ouvrière d'élevage laitier en production ovine ou caprine","A1410","A","Z"
"419","Chevrier / Chevrière","A1410","A","Z"
"420","Ouvrier / Ouvrière agricole en production laitière d'ovins ou de caprins","A1410","A","Z"
"421","Eleveur / Eleveuse d'ovins","A1410","A","Z"
"422","Berger / Bergère de production laitière","A1410","A","Z"
"423","Eleveur / Eleveuse en production ovine et caprine","A1410","A","Z"
"424","Berger / Bergère","A1410","A","Z"
"425","Responsable d'élevage en production ovine","A1410","A","Z"
"426","Eleveur / Eleveuse de moutons","A1410","A","Z"
"427","Ouvrier / Ouvrière d'élevage en production ovine","A1410","A","Z"
"428","Eleveur-sélectionneur / Eleveuse-sélectionneuse d'ovins et de caprins","A1410","A","Z"
"429","Responsable d'élevage en production caprine","A1410","A","Z"
"430","Eleveur-sélectionneur / Eleveuse-sélectionneuse en production porcine","A1411","A","Z"
"431","Responsable d'élevage porcin","A1411","A","Z"
"432","Eleveur / Eleveuse de porcs","A1411","A","Z"
"433","Engraisseur / Engraisseuse de porcelets","A1411","A","Z"
"434","Conducteur / Conductrice d'atelier de production animale porcine","A1411","A","Z"
"435","Technicien spécialisé / Technicienne spécialisée en conduite d'élevage porcin","A1411","A","Z"
"436","Eleveur / Eleveuse en production porcine","A1411","A","Z"
"437","Élevage porcin","A1411","A","Z"
"438","Ouvrier / Ouvrière agricole en production porcine","A1411","A","Z"
"439","Chef d'exploitation agricole porcine","A1411","A","Z"
"440","Ouvrier / Ouvrière d'élevage en production porcine","A1411","A","Z"
"441","Régisseur / Régisseuse en agriculture porcine","A1411","A","Z"
"442","Producteur / Productrice hors sol porcin","A1411","A","Z"
"443","Chef d'élevage porcin","A1411","A","Z"
"444","Second / Seconde d'exploitation porcine","A1411","A","Z"
"445","Ouvrier / Ouvrière de production porcine","A1411","A","Z"
"446","Régisseur / Régisseuse polyculture élevage porcin","A1411","A","Z"
"447","Porcher / Porchère","A1411","A","Z"
